codigo;titulo;tipo_publicacion;anio_publicacion;indexacion;orden_autor;autores;nombre_afiliacion
5078;ADE2: Towards a Method for Implementing Serious Games for Older People's Memory Training;ARTÍCULO DE CONFERENCIA;2021;SIN INDEXAR;1;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5092;Comparando técnicas de minería de datos en un centro de emergencias;ARTÍCULO;2021;LATINDEX;2;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5119;Flipping the Classroom with MOOCs. A Pilot Study Exploring Differences between Self-Regulated Learners.;ARTÍCULO DE CONFERENCIA;2017;SIN INDEXAR;2;Vicente Guillermo Pacheco Salazar;Universidad de Cuenca, Departamento de Ciencias de la Computación
5139;Plataforma para Análisis de Mercado a través de Datos de Redes Sociales;ARTÍCULO;2021;SIN INDEXAR;3;Andres Vinicio Auquilla Sangolqui;Universidad de Cuenca, Departamento de Ciencias de la Computación
5145;Microlearning Method to Building Learning Capsules for Older Adults: A Case Study for COVID-19 Prevention at Home;ARTÍCULO DE CONFERENCIA;2021;SCOPUS;1;Daniel  Gómez ;Universidad de Cuenca, Departamento de Ciencias de la Computación
5148;Systematic Literature Review of Internet of Things Solutions Oriented to People with Physical and Intellectual Disabilities;ARTÍCULO DE CONFERENCIA;2021;SIN INDEXAR;1;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5151;UIAAC: A Method for Design of Graphical User Interface for Augmentative and Alternative Communication;ARTÍCULO DE CONFERENCIA;2021;SIN INDEXAR;1;William Andres Sanchez Sanchez;Universidad de Cuenca, Departamento de Ciencias de la Computación
5158;Models@runtime and Internet of Things: A Systematic Literature Review;ARTÍCULO DE CONFERENCIA;2021;SCOPUS;4;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5178;Math-odology: Methodology for teaching mathematics and tools for the implementation of virtual classes;ARTÍCULO;2021;SIN INDEXAR;1;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5180;A Data-Driven Optimization Computational Tool Design for Bike-Sharing Station Distribution in Small to Medium-Sized Cities: A Case Study for Cuenca, Ecuador;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;3;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5185;Selecting and Acquiring IoT Devices Oriented to Older People: A Systematic Literature Review;ARTÍCULO DE CONFERENCIA;2021;SCOPUS;2;Wilson Fernando Valdez Solis;Universidad de Cuenca, Departamento de Ciencias de la Computación
5186;Evaluating the Usability in Domain-Specific Languages;ARTÍCULO DE CONFERENCIA;2021;SIN INDEXAR;5;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5191;Evaluating the Usability of Interactive Digital Television Applications;ARTÍCULO DE CONFERENCIA;2020; ;1;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5195;Integrating corporate social responsibility and quality management into the TDABC costing system: a case study in the assembly industry;ARTÍCULO;2022;SCOPUS;2;Carlos Villie Morocho Zurita;Universidad de Cuenca, Departamento de Ciencias de la Computación
5196;Towards a methodoly for creating Internet of Things (IoT) applications based on microservices;ARTÍCULO DE CONFERENCIA;2020;SIN INDEXAR;2;Paola Johana Cardenas Cardenas;Universidad de Cuenca, Departamento de Ciencias de la Computación
5197;Data mining techniques applied in the neuropsychology domain: A systematic review;ARTÍCULO DE CONFERENCIA;2020;SCOPUS;8;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5198;Discovering Patterns of Time Association Among Air Pollution and Meteorological Variables;ARTÍCULO DE CONFERENCIA;2021;SCOPUS;3;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5233;Identification of dynamical systems through the structure of auto-regression with exogenous variable by decreasing gradient and least squares;ARTÍCULO;2021;SCOPUS;5;Williams R. Villalba ;Universidad de Cuenca, Departamento de Ciencias de la Computación
5258;Iguales en las diferencias: iniciativas de investigación transnacionales sobre Informática Educativa en Latinoamérica en el periodo 2010-2020;ARTÍCULO;2021;SIN INDEXAR;8;Jorge Javier Maldonado Mahauad;Universidad de Cuenca, Departamento de Ciencias de la Computación
5259;FlipMyLearning: A Tool for Monitoring and Predicting Learner Behavior in Moodle;ARTÍCULO DE CONFERENCIA;2021;SIN INDEXAR;1;Jorge Javier Maldonado Mahauad;Universidad de Cuenca, Departamento de Ciencias de la Computación
5260;Large scale analytics of global and regional MOOC providers: Differences in learners’ demographics, preferences, and perceptions;ARTÍCULO;2022;SCOPUS;7;Jorge Javier Maldonado Mahauad;Universidad de Cuenca, Departamento de Ciencias de la Computación
5261;The MOOC-CEDIA Observatory;ARTÍCULO DE CONFERENCIA;2021;SIN INDEXAR;1;Jorge Javier Maldonado Mahauad;Universidad de Cuenca, Departamento de Ciencias de la Computación
5279;Evaluación de un Método de Monitorización de Calidad de Servicios Cloud: Una Replicación Interna;ARTÍCULO DE CONFERENCIA;2017;SIN INDEXAR;1;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5280;Intelligent Pillbox: Evaluating the User Perceptions of Elderly People;ARTÍCULO DE CONFERENCIA;2017;SCOPUS;1;Wilson Fernando Valdez Solis;Universidad de Cuenca, Departamento de Ciencias de la Computación
